iter	Passed	Remaining
0	142	142112
1	145	72584
2	147	49171
3	150	37466
4	154	30729
5	158	26237
6	161	22896
7	165	20503
8	167	18476
9	171	16964
10	173	15557
11	174	14360
12	176	13374
13	178	12542
14	182	11963
15	184	11350
16	186	10802
17	188	10264
18	188	9750
19	190	9315
20	191	8942
21	193	8582
22	195	8317
23	197	8040
24	199	7767
25	200	7515
26	202	7284
27	203	7061
28	204	6847
29	205	6646
30	206	6461
31	207	6274
32	208	6104
33	210	5969
34	211	5834
35	212	5697
36	213	5557
37	214	5425
38	215	5298
39	215	5177
40	216	5064
41	217	4952
42	217	4850
43	218	4750
44	219	4653
45	219	4560
46	220	4469
47	221	4385
48	221	4303
49	222	4225
50	223	4149
51	223	4078
52	224	4018
53	226	3963
54	227	3906
55	228	3846
56	229	3790
57	229	3729
58	230	3671
59	230	3616
60	231	3563
61	232	3510
62	232	3458
63	233	3408
64	233	3359
65	234	3312
66	234	3266
67	234	3217
68	235	3174
69	235	3133
70	236	3092
71	236	3053
72	237	3014
73	237	2977
74	238	2945
75	240	2918
76	241	2891
77	241	2859
78	242	2826
79	243	2794
80	243	2763
81	244	2731
82	244	2702
83	245	2673
84	245	2642
85	246	2614
86	246	2585
87	246	2558
88	247	2532
89	247	2506
90	248	2481
91	248	2456
92	249	2432
93	249	2408
94	250	2385
95	250	2362
96	251	2339
97	251	2317
98	252	2296
99	252	2275
100	254	2268
101	255	2251
102	256	2235
103	257	2217
104	257	2198
105	258	2180
106	258	2161
107	259	2142
108	260	2125
109	260	2107
110	261	2090
111	261	2074
112	262	2057
113	262	2041
114	263	2025
115	263	2008
116	263	1992
117	264	1976
118	264	1961
119	265	1946
120	265	1931
121	266	1916
122	266	1900
123	266	1886
124	267	1873
125	269	1865
126	270	1859
127	271	1846
128	271	1834
129	272	1822
130	272	1809
131	273	1797
132	273	1785
133	274	1773
134	274	1761
135	275	1749
136	275	1737
137	276	1725
138	276	1714
139	277	1703
140	277	1693
141	278	1682
142	279	1672
143	279	1661
144	280	1651
145	280	1640
146	281	1630
147	281	1620
148	282	1614
149	284	1610
150	285	1602
151	285	1594
152	286	1585
153	286	1576
154	287	1567
155	288	1558
156	288	1550
157	289	1541
158	289	1532
159	290	1523
160	290	1515
161	291	1506
162	291	1498
163	292	1489
164	292	1481
165	293	1473
166	293	1465
167	294	1457
168	294	1449
169	295	1441
170	295	1434
171	296	1426
172	298	1424
173	299	1420
174	300	1416
175	301	1409
176	301	1402
177	302	1395
178	302	1388
179	303	1381
180	303	1373
181	303	1366
182	304	1359
183	304	1352
184	305	1345
185	306	1339
186	306	1332
187	307	1326
188	307	1319
189	308	1313
190	308	1306
191	309	1300
192	309	1294
193	310	1288
194	310	1282
195	311	1277
196	313	1276
197	314	1272
198	314	1267
199	315	1262
200	316	1256
201	316	1251
202	317	1245
203	317	1240
204	318	1234
205	318	1229
206	319	1223
207	319	1218
208	320	1213
209	321	1207
210	321	1202
211	322	1197
212	322	1192
213	323	1186
214	323	1181
215	324	1177
216	325	1174
217	326	1171
218	328	1169
219	329	1167
220	330	1164
221	331	1160
222	331	1156
223	332	1151
224	333	1147
225	333	1142
226	334	1138
227	334	1133
228	335	1128
229	336	1125
230	336	1121
231	337	1117
232	338	1114
233	339	1111
234	340	1107
235	340	1103
236	341	1100
237	342	1098
238	343	1095
239	344	1091
240	345	1087
241	345	1082
242	346	1078
243	346	1074
244	347	1070
245	347	1066
246	348	1062
247	349	1058
248	349	1054
249	350	1050
250	350	1047
251	351	1043
252	351	1039
253	352	1035
254	353	1031
255	353	1027
256	354	1024
257	354	1020
258	355	1017
259	357	1016
260	358	1014
261	359	1012
262	360	1008
263	360	1005
264	361	1001
265	361	998
266	362	994
267	362	990
268	363	987
269	363	983
270	364	979
271	364	976
272	365	972
273	365	969
274	366	965
275	366	962
276	367	959
277	368	956
278	368	953
279	369	949
280	370	947
281	371	945
282	373	946
283	374	943
284	374	940
285	375	937
286	376	934
287	376	930
288	377	927
289	377	924
290	378	921
291	378	918
292	379	915
293	379	912
294	380	909
295	381	906
296	381	903
297	382	900
298	382	897
299	383	894
300	383	891
301	384	888
302	386	888
303	387	886
304	387	883
305	388	880
306	388	877
307	389	875
308	390	872
309	390	869
310	391	866
311	391	863
312	392	860
313	392	857
314	393	855
315	393	852
316	394	850
317	395	847
318	395	844
319	396	841
320	396	839
321	397	836
322	397	833
323	398	831
324	399	828
325	400	827
326	402	827
327	403	826
328	403	823
329	404	821
330	405	818
331	405	815
332	406	813
333	406	810
334	407	808
335	407	805
336	408	803
337	408	800
338	409	798
339	409	795
340	410	793
341	411	790
342	411	788
343	412	785
344	412	783
345	412	780
346	414	779
347	415	778
348	416	776
349	416	774
350	417	771
351	417	769
352	418	767
353	419	764
354	419	762
355	420	759
356	420	757
357	421	755
358	422	753
359	422	751
360	423	748
361	423	746
362	424	744
363	424	742
364	425	739
365	425	737
366	426	735
367	426	732
368	427	730
369	427	728
370	429	728
371	431	727
372	432	726
373	433	724
374	433	723
375	434	721
376	435	718
377	435	716
378	436	714
379	436	712
380	437	710
381	437	708
382	438	706
383	438	703
384	439	701
385	439	699
386	440	697
387	440	695
388	441	693
389	441	691
390	442	688
391	442	687
392	443	685
393	445	684
394	445	682
395	446	681
396	447	679
397	447	677
398	448	674
399	448	673
400	449	671
401	449	669
402	450	667
403	450	664
